Age,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
10,0.5,0.99,4.5,2,1,1,0
10,5.0,9.9,5.6701,2,0,1,0
6,0.9,0.95,0.13,2,1,1,0
9,5.3,6.8,1.65,2,0,1,0
11,5.35,9.4,3.2322,1,0,1,0
12,4.35,13.74,8.8,2,0,1,0
14,3.0,10.0,6.9562,2,0,1,0
8,7.5,9.94,1.5,2,0,0,0
8,11.25,13.6,6.8,1,0,1,0
9,5.5,8.06,4.5,1,0,1,0
8,5.75,7.5,4.4,2,0,0,0
10,4.5,6.79,3.2,2,0,0,0
11,3.1,5.98,5.1439,1,0,1,0
16,0.2,0.75,4.9,2,1,1,1
7,5.25,5.7,0.3493,2,0,1,1
6,6.0,6.49,1.62,2,1,1,0
7,11.25,13.6,2.2671,2,0,1,0
8,4.75,7.85,4.0,1,0,1,0
10,16.0,30.61,13.5,1,1,0,0
8,8.55,13.09,6.0076,1,0,1,0
9,3.75,6.8,3.3019,2,0,1,0
8,0.4,0.55,0.67,2,1,1,0
9,4.95,7.49,3.9,1,0,1,0
7,5.3,5.9,0.5464,2,0,1,0
14,3.35,11.0,8.7934,2,0,1,0
11,14.9,30.61,10.4707,1,0,0,0
6,19.75,23.15,1.1,2,0,0,0
8,7.5,10.0,2.76,2,0,1,0
8,8.4,13.6,3.4,2,0,1,0
10,5.11,9.4,3.6198,2,0,0,0
9,2.55,3.98,4.6706,2,0,1,0
17,2.5,23.73,14.2,2,1,0,3
10,0.27,0.47,2.1,2,1,1,0
11,4.95,9.4,6.0,1,0,1,0
11,3.1,4.6,3.5775,2,0,1,0
17,0.1,0.75,9.2233,2,1,1,0
10,0.65,0.787,1.6,2,1,1,0
6,6.5,8.7,2.12,2,0,1,0
8,5.8,7.71,2.587,2,0,1,0
8,7.25,10.79,4.1678,1,0,1,0
15,0.17,0.52,50.0,2,1,0,0
7,0.6,0.87,1.5,2,1,1,0
13,9.65,20.45,5.0024,1,0,1,0
11,14.5,30.61,8.9,1,0,0,0
8,11.75,14.79,4.3535,1,0,1,0
12,2.7,4.6,2.2517,2,0,1,0
9,7.2,9.9,4.8,1,0,1,0
7,7.75,10.79,4.3,1,0,1,0
6,2.85,3.6,0.2135,2,0,1,0
9,3.9,7.0,3.6054,2,0,1,0
10,3.5,5.9,0.98,2,0,1,0
7,3.0,3.76,1.0079,2,0,1,0
7,0.75,0.8,0.7,2,1,1,0
7,3.1,4.43,1.1849,2,0,1,0
8,4.0,5.8,4.0023,2,0,1,0
8,7.45,10.38,4.5,1,0,1,0
19,1.5,12.35,13.5154,2,0,0,0
8,4.85,5.7,2.1125,1,0,1,0
11,0.3,0.51,6.0,2,1,1,0
10,4.75,9.54,4.3,1,0,1,0
11,0.6,0.81,1.9,2,1,1,0
6,0.75,0.87,1.1,2,1,1,0
10,1.25,1.5,1.5,2,1,1,0
7,0.6,0.8,2.0,2,1,1,0
11,0.4,0.83,0.55,2,1,1,0
9,0.6,0.99,2.5,2,1,1,0
8,6.75,8.12,1.8796,2,0,1,0
6,5.25,5.7,2.0114,2,0,1,0
7,14.25,20.91,1.2,2,0,1,0
8,0.6,0.95,1.66,2,1,1,0
9,3.35,5.59,2.7,2,0,1,0
6,0.4,0.51,0.13,2,1,0,0
7,3.15,4.43,1.5,2,0,1,0
7,0.45,0.55,0.1,2,1,1,0
11,0.2,0.57,2.5,2,1,1,1
11,3.75,6.79,3.5,2,0,1,0
15,0.2,0.787,5.0,2,1,1,0
9,4.75,6.95,4.5,1,0,1,0
6,17.0,18.64,0.87,2,0,1,0
12,0.45,0.95,2.4,2,1,1,0
7,0.51,0.94,2.4,2,1,1,0
18,3.51,13.7,7.5,2,0,1,0
12,0.38,0.787,7.5,2,1,1,0
7,6.4,8.4,1.2,2,0,1,0
6,11.5,12.5,0.9,1,0,1,0
9,0.4,0.64,1.37,2,1,1,0
10,5.5,14.68,7.2,2,0,1,0
8,4.5,7.7,4.0588,2,0,1,0
6,5.75,7.13,1.2479,2,0,1,0
10,0.2,0.65,2.4,2,1,1,1
6,23.0,25.39,1.5,1,0,0,0
12,2.65,5.71,4.3,2,0,1,0
13,5.25,22.83,8.0,2,0,0,0
7,5.25,7.6,1.7,2,0,1,0
8,1.15,1.47,1.7,2,1,1,0
9,1.35,3.45,1.65,2,1,1,1
7,1.15,1.5,0.87,2,1,1,0
10,1.1,1.47,3.3,2,1,1,0
7,8.35,9.4,1.9434,1,0,1,0
9,0.65,1.2,2.35,2,1,1,0
13,1.95,3.95,4.4542,2,0,1,0
7,9.5,11.6,3.3988,1,0,1,0
6,0.8,0.87,0.3,2,1,1,0
8,8.25,9.4,6.1381,1,0,1,0
7,5.85,7.87,2.4524,2,0,0,0
11,4.5,9.4,3.61,2,0,1,0
6,9.1,9.4,1.5141,2,0,1,0
7,0.72,0.95,0.05,2,1,1,0
13,0.16,0.51,3.3,2,1,1,0
6,0.45,0.51,0.4,2,1,0,0
6,7.75,9.29,3.7,2,0,0,0
6,4.8,5.8,1.9,2,0,1,0
7,1.05,1.17,0.6,2,1,1,0
18,3.49,13.46,19.7176,1,0,1,0
15,0.25,0.58,0.19,2,1,0,0
10,6.95,18.61,4.0001,2,0,1,0
12,2.85,4.15,0.52,2,0,1,0
7,1.75,1.9,0.3,2,1,1,0
7,2.85,3.95,2.5,2,0,1,0
9,5.5,8.06,4.578,1,0,1,0
18,2.75,10.21,9.0,2,1,1,0
7,10.11,13.6,1.098,2,0,1,0
13,35.0,92.6,7.8,1,0,1,0
7,2.9,4.43,1.25,2,0,1,0
11,5.85,18.61,7.2,2,0,1,0
16,0.12,0.58,5.3,2,1,1,0
12,2.35,4.89,5.42,2,0,1,0
8,23.5,35.96,4.7,1,0,0,0
10,0.25,0.57,1.8,2,1,1,0
13,3.25,9.9,3.8,2,0,1,0
5,9.25,9.83,0.2071,1,0,1,0
8,12.5,13.46,3.8,1,0,1,0
7,1.2,1.5,1.8,2,1,1,0
14,0.9,1.75,4.0,2,1,1,0
8,9.7,13.6,2.178,2,0,1,0
8,1.1,1.9,1.4,2,1,1,0
9,0.55,0.787,1.5,2,1,1,0
11,2.0,4.43,2.3709,2,0,1,0
11,3.1,6.79,5.2132,1,0,1,0
7,1.05,1.26,0.57,2,1,1,0
9,4.6,6.87,4.245,1,0,1,0
9,1.15,2.4,0.7,2,1,1,0
7,5.5,5.97,0.56,2,0,1,0
12,2.95,4.6,5.346,2,0,1,0
13,0.25,0.52,2.2,2,1,0,0
8,0.6,0.84,2.9,2,1,1,0
10,1.0,1.47,4.65,2,1,1,0
10,3.45,6.05,4.7,2,0,1,0
10,2.65,4.89,6.4532,2,0,1,0
8,5.4,6.82,3.1427,2,0,0,0
10,0.6,1.2,3.2,2,1,1,0
18,0.2,0.57,5.5,2,1,1,0
7,12.9,13.6,3.5934,1,0,1,0
9,0.45,0.826,2.3,2,1,1,0
7,0.5,0.55,3.1,2,1,1,0
6,33.0,36.23,0.6,1,0,0,0
8,8.65,13.6,2.48,2,0,1,0
8,0.48,0.84,2.3,2,1,1,0
7,1.15,1.4,3.5,2,1,1,0
9,4.75,6.76,4.0,2,0,1,0
7,10.25,13.6,4.9562,2,0,1,0
9,4.9,8.93,8.3,1,0,1,0
6,0.75,0.95,0.35,2,1,1,0
15,1.95,7.15,5.8,2,0,1,0
17,2.1,7.6,5.0456,2,0,1,0
7,6.0,8.4,0.4,2,0,1,0
7,8.99,11.8,0.901,2,0,1,0
8,4.0,7.0,4.0026,2,0,1,0
9,2.5,3.46,4.528,2,0,1,0
9,0.5,0.88,0.8,2,1,1,0
7,8.75,8.89,2.0273,1,0,1,0
11,1.25,2.69,5.0,2,0,1,0
7,0.6,0.84,2.5,2,1,1,0
10,7.05,18.61,4.5,2,0,1,0
8,23.0,30.61,4.0,1,0,0,0
6,4.9,5.71,0.24,2,0,1,0
6,0.48,0.54,0.86,2,1,1,0
13,4.75,18.54,5.0,2,0,1,0
9,6.0,7.6,7.7632,1,0,1,0
6,1.7,1.82,0.14,2,1,1,0
6,1.35,1.47,0.41,2,1,1,0
11,3.0,5.35,5.3675,2,0,1,0
6,7.9,8.1,0.3435,2,0,1,0
20,0.35,2.28,12.7,2,1,1,0
13,0.52,0.94,4.5,2,1,1,0
10,0.25,0.51,3.2,2,1,1,0
9,7.5,12.04,1.5,2,0,0,0
13,2.65,7.98,4.1442,2,0,1,0
8,8.5,13.6,4.0324,2,0,1,0
9,3.95,6.76,7.1,1,0,1,0
12,1.05,1.5,0.69,2,1,1,0
7,0.45,0.54,0.05,2,1,0,0
12,2.55,4.43,5.7,2,0,1,0
11,5.9,13.74,5.6,2,0,1,0
9,8.25,14.0,6.3,1,0,1,0
14,3.8,18.61,6.2,2,0,1,0
9,11.25,16.09,5.8242,1,0,1,0
7,14.73,14.89,2.3,1,0,1,0
9,19.99,35.96,4.1,1,0,0,0
11,0.45,0.99,1.45,2,1,1,0
7,0.3,0.48,5.0,2,1,1,0
9,0.42,0.81,4.2,2,1,1,0
6,0.48,0.51,0.43,2,1,0,0
8,0.65,0.74,0.5,2,1,1,0
8,3.25,5.09,3.55,0,0,1,0
15,0.2,0.75,6.0,2,1,1,0
6,18.0,19.77,1.5,1,0,0,0
7,0.35,0.57,2.4,2,1,0,0
8,0.55,0.84,5.8,2,1,1,0
12,0.5,0.826,0.6,2,1,1,0
8,0.38,0.72,3.86,2,1,1,0
9,6.45,9.4,4.5078,2,0,1,0
6,0.48,0.52,1.5,2,1,1,0
8,4.0,5.9,6.0,2,0,1,0
11,5.2,9.4,7.1,1,0,1,0
